Sukunimi;Nimenhaltijoita yhteensä
Karvinen;2855
Rauhala;2850
Kurki;2840
Puustinen;2837
Nyberg;2828
Taipale;2823
Laiho;2815
Kilpeläinen;2814
Mäntylä;2793
Berg;2789
Oinonen;2764
Mattsson;2763
Kuisma;2761
Lassila;2751
Lehikoinen;2743
Kankaanpää;2739
Piirainen;2736
Backman;2727
Tikka;2715
Peltoniemi;2714
Haapanen;2703
Räty;2702
Pirinen;2699
Niiranen;2693
Jaatinen;2680
Jauhiainen;2673
Kivinen;2663
Lipponen;2643
Haverinen;2641
Korpi;2625
Moisio;2608
Parkkinen;2608
Kärki;2598
Pohjola;2593
Venäläinen;2585
Keinänen;2583
Kauppila;2580
Vesterinen;2579
Kaikkonen;2566
Ruuskanen;2563
Ylönen;2561
Jäntti;2560
Valkonen;2557
Raatikainen;2548
Mononen;2533
Sainio;2508
Haataja;2503
Holmberg;2493
Anttonen;2479
Järvelä;2466
Rossi;2464
Kovanen;2454
Syrjälä;2449
Nikula;2443
Tirkkonen;2443
Holmström;2433
Ahokas;2421
Pehkonen;2414
Pekkala;2400
Huuskonen;2382
Palomäki;2378
Karhunen;2369
Vuorela;2367
Männistö;2365
Lilja;2356
Kuronen;2354
Tiihonen;2354
Sallinen;2352
Seppä;2340
Muhonen;2337
Oikarinen;2336
Latvala;2334
Valkama;2334
Konttinen;2318
Alanko;2316
Elo;2315
Sirén;2312
Alanen;2303
Ryynänen;2294
Sjöblom;2292
Kämäräinen;2290
Simola;2287
Linna;2282
Reinikainen;2278
Rönkkö;2275
Soini;2257
Pekkarinen;2254
Salomaa;2252
Pöllänen;2248
Riihimäki;2248
Eloranta;2233
Lammi;2233
Keskitalo;2232
Kiuru;2231
Sirviö;2230
Marttinen;2218
Kari;2217
Forsman;2206
Airaksinen;2202
Nevala;2193
Järvi;2174
Antikainen;2173
Haapaniemi;2164
Sutinen;2163
Grönroos;2159
Lankinen;2157
Puranen;2157
Uotila;2157
Sihvonen;2156
Holappa;2151
Aro;2150
Ylinen;2150
Simonen;2149
Ihalainen;2139
Tähtinen;2106
Paavilainen;2105
Kauppi;2095
Toivola;2093
Aarnio;2081
Kauhanen;2076
Lehti;2068
Joensuu;2063
Kiiskinen;2063
Virolainen;2051
Snellman;2050
Sivonen;2049
Sundström;2047
Luoto;2040
Sormunen;2034
Koivuniemi;2027
Kalliokoski;2023
Luostarinen;2019
Eerola;2015
Friman;2014
Ruohonen;2007
Hassinen;2001
Törmänen;1999
Westerlund;1991
Kotilainen;1976
Tuomisto;1975
Nordström;1970
Suvanto;1966
Nenonen;1949
Ruuska;1941
Sorsa;1931
Laamanen;1928
Sinkkonen;1924
Koljonen;1922
Tervonen;1920
Kiiski;1916
Pietikäinen;1911
Nygård;1907
Björklund;1904
Piiroinen;1903
Sinisalo;1894
Pikkarainen;1891
Rajamäki;1890
Tenhunen;1884
Ukkonen;1880
Antila;1875
Nyström;1867
Suomela;1865
Paajanen;1862
Suomi;1859
Forsström;1858
Siitonen;1858
Lämsä;1855
Kuokkanen;1851
Vuorio;1851
Ekman;1845
Laitila;1834
Neuvonen;1834
Kekkonen;1828
Huusko;1827
Pöyhönen;1825
Vainionpää;1824
Leppälä;1822
Lind;1822
Junttila;1817
Saarelainen;1817
Lyytikäinen;1816
Alho;1812
Hyytiäinen;1812
Bergman;1809
Tahvanainen;1808
Kujanpää;1803
Vanhanen;1803
Vepsäläinen;1798
Jantunen;1797
Jylhä;1791
Arola;1790
Lempinen;1787
Mäkitalo;1787
Suutari;1786
Wikström;1786
Sandberg;1782
Hynninen;1774
Kontio;1772
Nyholm;1769
Hakanen;1763
Tapio;1762
Helander;1761
Honkala;1761
Närhi;1758
Pakkanen;1756
Tuomainen;1754
Kosunen;1750
Kääriäinen;1747
Inkinen;1746
Saukkonen;1743
Hurme;1742
Ekholm;1737
Palonen;1733
Minkkinen;1731
Kaartinen;1729
Pirhonen;1724
Tauriainen;1712
Pyykkö;1706
Lukkarinen;1701
Piironen;1697
Rintamäki;1696
Nurmela;1684
Puttonen;1682
Nummela;1680
Söderlund;1680
Remes;1677
Tukiainen;1675
Itkonen;1674
Määttänen;1672
Kautto;1666
Romppanen;1661
Tiilikainen;1655
Grönlund;1654
Selin;1653
Halttunen;1651
Harjula;1650
Kananen;1650
Nikkanen;1647
Välimaa;1635
Pekkanen;1633
Vanhala;1631
Tossavainen;1630
Tammi;1626
Ryhänen;1623
Mäkilä;1622
Kalliomäki;1621
Koivu;1620
Santala;1619
Myllylä;1611
Pyykkönen;1608
Setälä;1593
Koivumäki;1589
Kuitunen;1588
Piispanen;1588
Tuomaala;1587
Saukko;1583
Ahtiainen;1576
Lintunen;1573
Happonen;1564
Ketonen;1564
Lindeman;1563
Tuomela;1557
Nyyssönen;1548
Hovi;1547
Kivioja;1545
Kataja;1544
Valtanen;1543
Sundqvist;1540
Hellsten;1539
Tyni;1538
Siekkinen;1537
Pietiläinen;1536
Siltanen;1534
Tuhkanen;1534
Vesala;1528
Poutanen;1525
Hakola;1512
Mäntynen;1507
Haapalainen;1506
Hakulinen;1503
Kuusinen;1501
Rämö;1501
Toikka;1500
Päivärinta;1497
Kangasniemi;1492
Piipponen;1492
Hellman;1489
Sivula;1487
Syrjänen;1484
Turtiainen;1484
Montonen;1482
Vänskä;1480
Pellinen;1478
Kuivalainen;1476
Peltomäki;1476
Vaittinen;1473
Mykkänen;1470
Honkonen;1469
Stenberg;1469
Piippo;1466
Torvinen;1466
Kuittinen;1464
Wallenius;1460
Pettersson;1459
Jalkanen;1457
Jäppinen;1456
Parkkonen;1456
Salin;1456
Kärnä;1452
Kuikka;1449
Valli;1448
Utriainen;1437
Nikkilä;1432
Sandström;1432
Lindén;1429
Räihä;1426
Hallikainen;1424
Hynynen;1424
Talvitie;1424
Soikkeli;1423
Grönholm;1422
Sippola;1421
Sjöberg;1421
Kuparinen;1416
Jaakola;1414
Pursiainen;1411
Mähönen;1410
Pulli;1407
Herranen;1405
Iivonen;1405
Nikkinen;1403
Sairanen;1403
Orava;1399
Lönnqvist;1398
Männikkö;1392
Palosaari;1389
Raunio;1388
Kakko;1384
Lamberg;1384
Puumalainen;1382
Kankkunen;1381
Ojanperä;1381
Kekäläinen;1378
Suni;1376
Tuomola;1375
Vatanen;1374
Putkonen;1371
Rahkonen;1371
Annala;1370
Lappi;1370
Pellikka;1369
Reijonen;1369
Vuorenmaa;1369
Nordlund;1365
Pynnönen;1364
Tynkkynen;1364
Kervinen;1361
Peltomaa;1359
Savela;1358
Olkkonen;1357
Hukkanen;1356
Juutilainen;1356
Naukkarinen;1355
Numminen;1355
Öhman;1353
Vehviläinen;1352
Isotalo;1351
Kaukonen;1351
Kukkola;1350
Kaunisto;1345
Niskala;1345
Viljakainen;1345
Salovaara;1344
Katajamäki;1342
Sundberg;1341
Saikkonen;1340
Leivo;1339
Suokas;1338
Vauhkonen;1338
Pohjonen;1334
Nordman;1332
Sipola;1331
Väätäinen;1323
Manner;1319
Heimonen;1318
Pihlajamäki;1317
Jämsä;1315
Haikonen;1313
Virkkunen;1310
Mutanen;1308
Kohonen;1307
Nissilä;1307
Siltala;1305
Huhta;1304
Malmberg;1304
Palmu;1301
Kurvinen;1300
Päivinen;1299
Oja;1296
Ervasti;1295
Pylkkänen;1294
Reponen;1294
Kaipainen;1293
Vainikka;1293
Mäkeläinen;1288
Roos;1288
Elomaa;1284
Haanpää;1284
Mannila;1284
Poutiainen;1284
Ovaskainen;1282
Pihlaja;1282
Huhtanen;1281
Lähde;1281
Vanhatalo;1279
Holma;1275
Kilpinen;1274
Wallin;1274
Lintula;1268
Kupiainen;1267
Vikman;1264
Rouhiainen;1260
Säkkinen;1260
Hurskainen;1259
Mielonen;1259
Kovalainen;1257
Lindell;1257
Söderholm;1256
Mohamed;1255
Suuronen;1251
Blom;1249
Kuoppala;1248
Ovaska;1246
Viinikainen;1243
Murto;1242
Perttula;1242
Klemetti;1236
Kumpula;1236
Raitanen;1233
Fagerström;1230
Himanen;1230
Janhunen;1230
Nguyen;1230
Rekola;1227
Vainikainen;1227
Jokelainen;1226
Haapakoski;1225
Kiviranta;1223
Tarkiainen;1223
Pietarinen;1216
Tuononen;1215
Kivi;1214
Hintikka;1212
Saarenpää;1212
Siivonen;1211
Veijalainen;1211
Ek;1209
Ruokonen;1205
Liikanen;1204
Lundberg;1204
Julkunen;1201
Haapamäki;1197
Ripatti;1197
Rantamäki;1196
Leskelä;1195
Marjamäki;1191
Bergström;1190
Parikka;1190
Sarkkinen;1185
Kirjavainen;1184
Sundell;1184
Jalava;1183
Saario;1183
Laatikainen;1182
Gröhn;1174
Kekki;1174
Nikander;1174
Kemppi;1169
Rahikainen;1167
Ratilainen;1165
Ström;1165
Varjonen;1164
Saarikoski;1162
Palo;1160
Tanninen;1160
Kesti;1157
Paasonen;1157
Vesa;1156
Reunanen;1155
Westerholm;1155
Vänttinen;1154
Kannisto;1153
Junnila;1152
Raappana;1152
Hulkkonen;1148
Kauranen;1145
Peura;1145
Hongisto;1144
Granlund;1143
Nisula;1143
Pentikäinen;1139
Blomberg;1138
Äijälä;1138
Rautanen;1137
Maijala;1136
Juhola;1132
Loikkanen;1129
Heinänen;1126
Vaara;1125
Lyytinen;1122
Granholm;1119
Myllynen;1119
Oksa;1118
Kunnari;1117
Lampela;1114
Sarajärvi;1113
Okkonen;1112
Ilomäki;1111
Martin;1109
Ahlgren;1106
Häggblom;1106
Niinimäki;1106
Ali;1105
Åberg;1102
Takkinen;1101
Lukkari;1099
Roininen;1099
Lamminen;1094
Majuri;1093
Jutila;1092
Ristimäki;1092
Sjöholm;1092
Tuppurainen;1091
Rosenberg;1088
Ropponen;1087
Kolari;1084
Kontkanen;1084
Kytölä;1083
Forsberg;1080
Vornanen;1078
Åkerlund;1078
Östman;1075
Söderström;1074
Vilén;1071
Forss;1070
Pollari;1070
Bäckman;1066
Ijäs;1065
Metso;1063
Katainen;1062
Heikura;1061
Hirvelä;1060
Lundström;1060
Mäkipää;1060
Tissari;1060
Lempiäinen;1059
Tiitinen;1059
Markkula;1058
Knuutila;1057
Aronen;1051
Korkiakoski;1046
Hietamäki;1045
Arvola;1041
Kaasinen;1039
Kapanen;1038
Kela;1038
Kemppinen;1038
Vikström;1036
Härmä;1032
Tölli;1032
Korpinen;1031
Olli;1029
Pärssinen;1029
Weckström;1029
Hedman;1026
Puurunen;1025
Uutela;1025
Yrjölä;1025
Malm;1023
Österberg;1023
Juutinen;1021
Saloranta;1020
Sorvari;1020
Kallinen;1018
Surakka;1013
Palm;1012
Björkman;1008
Rusanen;1008
Similä;1008
Luukkanen;1006
Rajaniemi;1006
Uimonen;1006
Järveläinen;1005
Tuukkanen;1005
Hujanen;1004
Roivainen;1004
Suorsa;1004
Nilsson;1002
Haarala;998
Porkka;998
Ekström;996
Teittinen;996
Pulliainen;994
Nummi;991
Toikkanen;990
Lång;989
Höglund;986
Sirkiä;985
Strömberg;984
Björk;982
Syrjä;982
Katajisto;981
Peltokangas;981
Rannikko;981
Myllykoski;979
Purhonen;978
Ahmed;975
Salomäki;975
Ilvonen;974
Könönen;968
Siira;967
Ikävalko;966
Kajander;964
Loponen;964
Kasurinen;963
Virkki;963
Österlund;963
Suonpää;962
Hildén;961
Rahkola;960
Kuvaja;959
Nokelainen;958
Törmä;957
Laitala;956
Rönkä;956
Henttonen;955
Nummelin;953
Palviainen;951
Viljamaa;951
Niva;950
Kurkela;949
Nordberg;948
Ylikoski;948
Kaasalainen;947
Mönkkönen;947
Enqvist;944
Pusa;942
Kallioniemi;940
Stenman;940
Backlund;938
Kulju;938
Lindblom;938
Toropainen;938
Häyrinen;937
Metsälä;937
Karppanen;934
Kopra;934
Dahl;932
Naumanen;932
Pöntinen;932
Hellström;931
Siponen;931
Asplund;930
Liimatta;930
Hietikko;928
Käyhkö;928
Koskelainen;927
Juuti;926
Terho;926
Isomäki;924
Malin;924
Kröger;923
Pöyry;923
Koivukangas;921
Perkiö;921
Kaski;920
Haakana;918
Heikkonen;918
Klemola;918
Romppainen;918
Rouvinen;917
Palokangas;915
Oksman;914
Siren;914
Back;912
Puolakka;911
Lievonen;910
Vesanen;908
Arponen;905
Hintsala;903
Granqvist;902
Knuuttila;901
Pyykönen;901
Toiviainen;901
Mantere;900
Pajula;896
Lund;890
Norrgård;890
Parkkila;890
Ruokolainen;890
Mäkynen;889
Jurvanen;887
Ristola;887
Sandell;887
Silander;886
Mehtälä;884
Miettunen;881
Isoaho;880
Paldanius;879
Boman;878
Suikkanen;878
Laasonen;877
Huovila;876
Myllyniemi;876
Räikkönen;876
Isaksson;875
Lahtela;875
Luomala;875
Ukkola;875
Kankare;874
Sorjonen;874
Kanniainen;873
Ahlqvist;872
Berglund;871
Hyyryläinen;871
Kotiranta;871
Pajari;870
Halinen;867
Särkkä;863
Koskelo;862
Lahdenperä;862
Smeds;862
Stenroos;861
Haapasalo;860
Riekki;860
Herrala;858
Vierimaa;856
Riekkinen;855
Kurkinen;854
Tuomikoski;854
Luokkanen;853
Sironen;853
Viskari;853
Ohtonen;851
Lauronen;850
Paaso;847
Vihavainen;847
Koikkalainen;846
Korkalainen;846
Möttönen;846
Lehtomäki;845
Poikonen;845
Knuutinen;844
Myyryläinen;844
Pernu;844
Rinkinen;844
Takalo;844
Hinkkanen;841
Huuhtanen;841
Lohi;841
Malmi;841
Pakkala;841
Kujansuu;840
Kallioinen;838
Niemistö;838
Raivio;838
Savola;838
Schroderus;835
Tammela;832
Saaristo;831
Laurikainen;830
Vaarala;830
Kurtti;829
Vähäkangas;827
Launonen;826
Kinnari;824
Oinas;824
Palola;824
Helle;823
Kojo;823
Rask;823
Valo;823
Flink;821
Hagman;821
Viinikka;821
Vahtera;820
Fredriksson;819
Myller;819
Kostiainen;817
Pentti;817
Ristolainen;815
Ruusunen;815
Tikkala;815
Hyppönen;813
Kantonen;811
Brandt;809
Haatainen;809
Mertanen;809
Reiman;808
Engström;807
Tuunanen;807
Lepola;805
Aikio;804
Jakobsson;803
Vento;803
Lötjönen;802
Pohjolainen;801
Husu;800
Kankainen;800
Myllykangas;800
Ahvenainen;799
Rosenqvist;799
Ilola;798
Paloniemi;798
Rutanen;797
Wiik;797
Korkala;796
Pullinen;796
Pussinen;794
Forsell;793
Hölttä;793
Bäckström;792
Rosendahl;790
Taavitsainen;790
Kallunki;789
Lampi;789
Hakamäki;788
Taskila;788
Ruhanen;786
Hagert;785
Pohjalainen;785
Bäck;784
Järvensivu;784
Suojanen;784
Grönberg;783
Lähdesmäki;783
Rantalainen;783
Havukainen;782
Maunula;781
Reinikka;781
Keto;780
Kunnas;780
Riipinen;780
Rastas;779
Uitto;779
Varonen;779
Laukka;778
Pölönen;777
Puska;775
Tuisku;775
Hakonen;774
Fagerlund;773
Tapaninen;771
Kiljunen;768
Myöhänen;768
Tanner;768
Kantanen;767
Sorri;767
Vesalainen;766
Rainio;764
Sievänen;764
Pekkola;762
Valjakka;762
Tran;760
Korkeamäki;759
Muikku;759
Jormanainen;757
Koivuranta;757
Kurikka;757
Mehtonen;756
Muukkonen;756
Torniainen;756
Olin;755
Nivala;754
Roine;754
Tammisto;753
Visuri;752
Poikela;751
Huhtamäki;749
Pesola;749
Tiittanen;749
Lindstedt;746
Äikäs;746
Ahlfors;745
Grönqvist;745
Eerikäinen;744
Fagerholm;744
Julin;744
Karhula;744
Käkelä;744
Illikainen;743
Issakainen;742
Hassan;741
Kostamo;741
Pekonen;741
Saarnio;741
Nyqvist;739
Piiparinen;739
Tuohimaa;739
Vehmas;739
Ylimäki;739
Viita;738
Österman;738
Malmström;735
Saarikko;735
Juopperi;733
Luhtala;733
Koivistoinen;731
Särkelä;731
Levänen;730
Finnilä;726
Kuula;726
Dahlström;724
Kiviharju;724
Leminen;724
Peippo;724
Kvist;723
Lipsanen;723
Niittymäki;723
Sihvola;723
Paju;720
Kymäläinen;719
Törrönen;718
Valta;717
Kaskinen;716
Nupponen;715
Sipiläinen;715
Teräväinen;715
Kilponen;714
Korte;714
Vilenius;714
Luotonen;713
Pihlajaniemi;713
Hyrkäs;711
Engblom;710
Hautaniemi;710
Raita;710
Rasi;710
Pajala;709
Litmanen;708
Marin;708
Forsblom;707
Puisto;706
Haaranen;705
Rämä;705
Takanen;705
Kuutti;703
Lumme;703
Grönfors;702
Löppönen;702
Mantila;701
Koskimäki;700
Valkeapää;700
Boström;699
Poikolainen;699
Pääkkö;697
Sepponen;697
Kylliäinen;695
Långström;695
Multanen;694
Sopanen;694
Sundman;693
Lundell;692
Tammelin;692
Vilkman;692
Paakkunainen;691
Jeskanen;690
Laurén;690
Vuoristo;690
Elonen;689
Turkki;689
Nylander;688
Willman;688
Korva;687
Lajunen;686
Pesu;686
Tainio;686
Turkia;686
Jokiniemi;684
Roth;684
Ikola;683
Konttila;683
Viinamäki;683
Englund;682
Harinen;682
Talja;682
Keinonen;681
Sihvo;681
Asp;680
Luttinen;680
Skog;680
Gröndahl;678
Joki;678
Posti;678
Smolander;678
Kupari;677
Hautanen;676
Lehtiniemi;676
Santanen;676
Taponen;675
Mannonen;674
Nygren;674
Puro;674
Viitaniemi;674
Hagström;672
Karonen;672
Koli;672
Töyrylä;672
Weckman;672
Martiskainen;670
Metsola;669
Borg;668
Falck;668
Mikkilä;668
Paukkunen;667
Sjölund;667
Tirronen;667
Tyrväinen;666
Roiha;663
Kolu;662
Tonteri;662
Väre;662
Kuha;661
Harjunpää;660
Juola;660
Uotinen;660
Suutarinen;658
Huhtinen;656
Nurkkala;656
Hoikkala;655
Jokitalo;655
Summanen;655
Tuuri;655
Sandelin;654
Uski;654
Pylvänäinen;653
Rummukainen;653
Saarimaa;653
Alén;651
Hartikka;651
Kattelus;651
Pelttari;651
Ritola;651
Raitio;650
Syvänen;650
Vitikainen;649
Javanainen;648
Koivusalo;648
Muurinen;648
Mansikkamäki;647
Jaskari;646
Kiiveri;646
Suoranta;646
Häyrynen;645
Suihkonen;645
Virtala;645
Kohvakka;644
Alastalo;643
Hirvi;643
Kanninen;643
Silventoinen;643
Björn;642
Pärnänen;642
Uusimäki;642
Wikman;642
Mölsä;641
Tuokko;641
Mankinen;640
Rönnberg;640
Sääskilahti;640
Tiensuu;640
Tommila;640
Viitamäki;639
Mynttinen;638
Vanninen;637
Jalo;636
Vuolle;636
Vähämäki;636
Broman;635
Heinola;635
Leppäniemi;634
Mänttäri;634
Nikulainen;634
Piispa;634
Koho;633
Hotti;632
Häkli;632
Kuosa;632
Lehtoranta;632
Mustajärvi;632
Simpanen;632
Tuovila;632
Wiklund;632
Friberg;630
Sassi;630
Viertola;630
Söderman;629
Hukka;628
Katila;628
Pätsi;628
Ikäheimo;627
Pukkila;626
Väistö;626
Matero;625
Roponen;625
Villanen;625
Marjanen;624
Myllys;621
Puputti;621
Torikka;621
Virkkala;621
Blomster;620
Enberg;620
Kaivola;620
Ståhl;620
Heininen;619
Kivilahti;619
Larsson;619
Lindblad;619
Häggman;618
Mulari;618
Vähätalo;618
Tilli;617
Vähäkuopus;617
Köykkä;616
Ritvanen;616
Hulkko;615
Oikari;615
Saranpää;615
Tapanainen;615
Luukkainen;614
Natunen;614
Niemeläinen;614
Paunonen;614
Välikangas;614
Akkanen;613
Ingman;613
Inkeroinen;613
Kähärä;613
Skyttä;613
Halminen;612
Kilpi;612
Leikas;612
Ruottinen;612
Hietaniemi;611
Mikola;611
Nissi;611
Hannonen;610
Riihelä;610
Liukko;609
Rokka;609
Kleemola;608
Sulonen;608
Vasara;608
Kontinen;607
Hellgren;606
Kero;606
Leppä;606
Mutikainen;606
Niininen;606
Perttunen;606
Pihlajamaa;606
Haapasaari;605
Hannuksela;605
Nikkola;604
Perämäki;603
Joronen;602
Simula;602
Torkkeli;602
Björkqvist;601
Malkki;597
Hyväri;596
Onnela;596
Ilmonen;595
Ruoho;595
Teppo;595
Hännikäinen;594
Sipponen;594
Pirilä;593
Toppinen;593
Kakkonen;592
Keronen;592
Väliaho;592
Hyyppä;591
Sundholm;591
Tuunainen;591
Erola;590
Hemminki;590
Rantonen;590
Westman;590
Honka;589
Kerttula;589
Tuomala;589
Finne;588
West;588
Bollström;587
Kokki;587
Mansikka;587
Nyrhinen;587
Paakki;587
Paalanen;587
Posio;587
Lundqvist;586
Vertanen;585
Honkaniemi;584
Takkunen;584
Saarijärvi;583
Kaakinen;582
Kontturi;582
Latva;582
Lavikainen;582
Ahopelto;581
Ilonen;581
Korpelainen;581
Ojaniemi;581
Tiusanen;581
Heinilä;580
Hemmilä;580
Innanen;580
Isokangas;580
Kanto;580
Majava;580
Roivas;580
Kylmänen;579
Murtomäki;579
Tapola;579
Behm;578
Maaranen;578
Huttu;577
Pitkälä;577
Sonninen;577
Kanervo;575
Mäntyniemi;575
Juusola;574
Kronqvist;574
Mattinen;574
Pirskanen;574
Päkkilä;572
Stenius;572
Mettälä;571
Paukku;571
Sirkka;571
Oittinen;570
Leppämäki;569
Sund;569
Ilves;568
Kahila;568
Kunttu;568
Lindh;568
Puumala;568
Haukka;567
Kareinen;567
Rapo;567
Sandvik;566
Tallgren;566
Törnqvist;566
Kautonen;565
Ruponen;565
Husso;564
Lantto;564
Petäjä;564
Ståhlberg;564
Suoniemi;564
Lehtovaara;563
Blomerus;562
Isoniemi;562
Ulmanen;562
Hentunen;560
Linden;560
Lonka;560
Paronen;559
Karhapää;557
Lamminmäki;557
Saksa;557
Lehtiö;556
Viitasaari;556
Leiviskä;555
Hanhela;554
Lehtilä;554
Noponen;554
Sjögren;554
Piitulainen;553
Mylläri;552
Sjöström;552
Stolt;552
Hentilä;551
Hirsimäki;551
Pudas;551
Sorvali;551
Tulonen;551
Impola;550
Alanne;549
Karppi;549
Peiponen;549
Hatakka;548
Kiviaho;548
Kukko;548
Palmroth;548
Hiltula;547
Lukkarila;547
Metsäranta;547
Rimpiläinen;547
Saarni;547
Sintonen;547
Tanttu;547
Hellberg;545
Karsikas;545
Puikkonen;545
Åström;545
Huuhka;544
Lemmetty;544
Liedes;544
Hyytinen;543
Mourujärvi;542
Pahkala;542
Selenius;542
Hanski;540
Lauri;540
Halmetoja;539
Hyry;539
Juselius;539
Karhumaa;539
Strandberg;539
Välitalo;539
Rehn;538
Sten;538
Vallius;537
Laari;536
Törmälä;536
Vilen;536
Ahtola;535
Paakkari;535
Siivola;535
Alm;534
Mäkiranta;534
Tornberg;534
Hautakangas;533
Heiska;533
Häkkilä;533
Kaleva;533
Mörsky;533
Lönnberg;532
Pekkinen;532
Alenius;531
Sandholm;531
Jokiranta;530
Lamminpää;530
Vierikko;530
Granroth;529
Kaila;529
Kytömäki;529
Sinkko;529
Tokola;529
Alander;528
